timestamp,frame,event,person_id,bag_id,image
20260128_221959_313581,150,MOVED_AWAY,10,14,20260128_221959_313581.jpg
20260128_221959_328958,150,LEFT_BEHIND,10,14,20260128_221959_328958.jpg
20260128_221959_499142,151,MOVED_AWAY,10,14,20260128_221959_499142.jpg
20260128_221959_503810,151,LEFT_BEHIND,10,14,20260128_221959_503810.jpg
20260128_221959_664612,152,MOVED_AWAY,10,14,20260128_221959_664612.jpg
20260128_221959_668891,152,LEFT_BEHIND,10,14,20260128_221959_668891.jpg
20260128_221959_839001,153,MOVED_AWAY,10,14,20260128_221959_839001.jpg
20260128_221959_843053,153,LEFT_BEHIND,10,14,20260128_221959_843053.jpg
20260128_222000_006501,154,MOVED_AWAY,10,14,20260128_222000_006501.jpg
20260128_222000_011291,154,LEFT_BEHIND,10,14,20260128_222000_011291.jpg
20260128_222000_172036,155,MOVED_AWAY,10,14,20260128_222000_172036.jpg
20260128_222000_176432,155,LEFT_BEHIND,10,14,20260128_222000_176432.jpg
20260128_222000_333812,156,MOVED_AWAY,10,14,20260128_222000_333812.jpg
20260128_222000_338492,156,LEFT_BEHIND,10,14,20260128_222000_338492.jpg
20260128_222000_494094,157,MOVED_AWAY,10,14,20260128_222000_494094.jpg
20260128_222000_497845,157,LEFT_BEHIND,10,14,20260128_222000_497845.jpg
20260128_222000_663595,158,MOVED_AWAY,10,14,20260128_222000_663595.jpg
20260128_222000_667741,158,LEFT_BEHIND,10,14,20260128_222000_667741.jpg
20260128_222004_887181,188,MOVED_AWAY,10,14,20260128_222004_887181.jpg
20260128_222004_889532,188,LEFT_BEHIND,10,14,20260128_222004_889532.jpg
20260128_222005_066128,189,MOVED_AWAY,10,14,20260128_222005_066128.jpg
20260128_222005_068812,189,LEFT_BEHIND,10,14,20260128_222005_068812.jpg
20260128_222005_245567,190,MOVED_AWAY,10,14,20260128_222005_245567.jpg
20260128_222005_247901,190,LEFT_BEHIND,10,14,20260128_222005_247901.jpg
20260128_222005_250201,190,MOVED_AWAY,16,14,20260128_222005_250201.jpg
20260128_222005_252218,190,LEFT_BEHIND,16,14,20260128_222005_252218.jpg
20260128_222005_420655,191,MOVED_AWAY,10,14,20260128_222005_420655.jpg
20260128_222005_422732,191,LEFT_BEHIND,10,14,20260128_222005_422732.jpg
20260128_222005_424742,191,MOVED_AWAY,16,14,20260128_222005_424742.jpg
20260128_222005_426571,191,LEFT_BEHIND,16,14,20260128_222005_426571.jpg
20260128_222005_593099,192,MOVED_AWAY,10,14,20260128_222005_593099.jpg
20260128_222005_595148,192,LEFT_BEHIND,10,14,20260128_222005_595148.jpg
20260128_222005_597139,192,MOVED_AWAY,16,14,20260128_222005_597139.jpg
20260128_222005_598924,192,LEFT_BEHIND,16,14,20260128_222005_598924.jpg
